Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Main language at work,Company size,Company type,Totalcomp
54,Male,Munich,Software Engineer,25,15,Middle,Python,English,1000+,Consulting / Agency,80000
28,Male,Sevilla,DatabEngineer,4,0,Middle,GCP,Spanish,51-100,Consulting / Agency,30000
28,Female,Berlin,Frontend Developer,5,2,Senior,javascript,English,1000+,Product,66000
29,Female,Berlin,Project Manager,6,"0,5",Middle,Web,English,101-1000,Startup,51000
38,Male,Berlin,Data Scientist,6,3,Lead,Python,English,1000+,Product,180000
33,Male,Berlin,Software Engineer,11,5,Senior,Scala,English,1000+,Product,197000
36,Male,Berlin,Backend Developer,12,0.5,Senior,Python,English,1000+,Startup,115000
36,Male,Berlin,Software Engineer,15,6,Senior,PHP,English,101-1000,Product,72000
37,Male,Aachen,QA Engineer,15,1,Senior,Python,English,101-1000,Product,77000
36,Male,Munich,Software Engineer,15,1,Senior,PL/SQL,English,1000+,Consulting / Agency,71000
35,Female,Munich,Application Consultant,"1,5","1,5",Junior,SAP,English,1000+,Consulting / Agency,48000
33,Male,Munich,Frontend Developer,10,6,Senior,Javascript,English,101-1000,Startup,105000
33,Male,Stuttgart,Team Lead,12,5,Lead,PHP,German,101-1000,Consulting / Agency,70200
31,Male,Berlin,Backend Developer,7,2,Senior,Go,English,101-1000,Product,75000
36,Male,Amsterdam,Mobile Developer,14,8,Senior,Swift,English,11-50,Consulting / Agency,75000
31,Male,Berlin,Software Engineer,9,5,Senior,scala,English,11-50,Startup,85000
36,Male,Regensburg,Software Engineer,10,10,Middle,C#,German,51-100,Consulting / Agency,72000
37,Male,Munich,DevOps,17,1,Senior,AWS,English,1000+,Consulting / Agency,90000
30,Male,Berlin,Consultant,3,3,Middle,Java,English,101-1000,Startup,58000
30,Male,Berlin,Software Engineer,11,1,Senior,Java / Scala,English,1000+,Product,180000
27,Male,Krakow,QA Engineer,5,1,Senior,java,English,101-1000,Product,35000
33,Female,Munich,Software Engineer,10,3,Senior,Java,English,11-50,Outsourse,47500
35,Male,Ingolstadt,Backend Developer,10,4,Lead,Magento,English,11-50,Startup,65000
26,Male,Berlin,Backend Developer,5,4,Middle,Java,English,1000+,Product,72000
29,Male,Berlin,Software Engineer,9,5,Senior,C++,English,1000+,Product,89000
31,Male,Berlin,Backend Developer,4,2,Middle,Ruby on Rails,English,11-50,Product,50000
24,Female,Munich,Software Engineer,less than year,less than year,student,"Python, database technologies",English,11-50,Startup,32640
36,Male,Berlin,Mobile Developer,10,10,Middle,Android,English,1000+,Product,70000
29,Male,Munich,Data Scientist,6,5,Middle,SQL,English,1000+,Product,100000
30,Female,Berlin,Frontend Developer,3,3,Lead,JavaScript ,English,101-1000,Product,57600
30,Male,Munich,Software Engineer,8,1,Senior,PHP,English,51-100,Product,69500
29,Male,Berlin,Backend Developer,5,5,Senior,Go,English,101-1000,Product,75000
34,Male,Berlin,Software Engineer,14,4,Lead,Java,English,1000+,Product,100000
30,Male,Berlin,Backend Developer,10,4,Lead,Java,English,101-1000,Startup,82000
34,Male,Prague,Backend Developer,14,0,Lead,C#,English,1000+,Product,130000
27,Male,Munich,Software Engineer,8,4,Senior,"C++, C#",English,11-50,Product,52000
26,Male,Munich,Mobile Developer,5,1,Middle,Kotlin,Russian,51-100,Startup,65000
35,Male,Munich,Software Engineer,12,5,Lead,python,English,51-100,Product,110000
44,Male,Munich,Software Architekt,20,20,Head,Java Backend,German,101-1000,Product,110000
34,Male,Ingolstadt ,Software Engineer,3.5,3.5,Junior,C++,German,1000+,Consulting / Agency,110000
45,Male,Munich,Software Engineer,20,20,Self employed,".net, c++, spss, embeddded",German,up to 10,freelance,215000
31,Male,Munich,Backend Developer,10,7,Senior,Ruby on Rails,English,101-1000,Startup,170000
24,Male,Berlin,Frontend Developer,5,2,Senior,TypeScript,English,101-1000,Product,68250
27,Male,Munich,Software Engineer,7,4,Middle,.NET,English,51-100,Consulting / Agency,63000
34,Male,Berlin,Frontend Developer,6,2,Middle,Javascript,English,101-1000,Startup,63000
28,Male,Munich,Software Engineer,7,3,Middle,Java,English,101-1000,Product,67000
25,Male,Berlin,ML Engineer,5,"0,5",Middle,Scala,English,1000+,Product,67000
35,Male,Karlsruhe,Software Engineer,12,7,Senior,".Net, Angular",English,1000+,Product,75000
33,Female,Munich,Testmanager,10,2,Junior,Java,German,1000+,Product,120000
39,Male,Berlin,QA Engineer,7,5,Senior,Java,English,1000+,Product,79000
37,Male,Berlin,Mobile Developer,15,5,Senior,Android,English,101-1000,Product,85700
27,Male,Frankfurt,Software Engineer,3,1,Middle,Qlik,German,11-50,Product,52000
31,Female,Berlin,Data Scientist,4,3,Middle,spark,English,1000+,Product,50500
32,Male,Munich,ERP Consultant,10,6,Lead,SAP,English,1000+,Product,130000
32,Male,Munich,Software Engineer,10,5,Head,Scala,English,11-50,Startup,95000
28,Male,Berlin,Frontend Developer,5,5,Middle,JavaScript,English,101-1000,Product,55000
34,Male,Zurich,Software Engineer,7,2,Senior,PHP,English,11-50,Startup,108500
31,Male,Berlin,Backend Developer,9,5,Senior,Java,English,51-100,Product,142000
33,Male,Berlin,Researcher/ Consumer Insights Analyst ,10,1.5,Senior,consumer analysis,English,1000+,Product,63000
39,Male,Munich,IT Operations Manager,15,2,Lead,PHP,English,101-1000,eCommerce,110000
26,Male,Saarbrücken,Frontend Developer,7,7,Middle,JavaScript,German,101-1000,Product,79300
26,Male,Berlin,DevOps,2,2,Middle,yaml,English,51-100,Startup,71500
